CVE-2015-8950: Fixed with 3.16.35
CVE-2015-8952: Fix not seen in stream
CVE-2015-8955: Fixed with 3.16.39
CVE-2015-8956: Fixed with 3.16.39
CVE-2015-8962: Fixed with 3.16.40
CVE-2015-8963: Fixed with 3.16.40
CVE-2015-8964: Fixed with 3.16.40
CVE-2015-8966: Fix not seen in stream
CVE-2015-8967: Fix not seen in stream
CVE-2015-8970: Fixed with 3.16.35
CVE-2015-9004: Fixed with 3.16.35
CVE-2016-0723: Fixed with 3.16.35
CVE-2016-0728: Fixed with 3.16.35
CVE-2016-0758: Fixed with 3.16.36
CVE-2016-0821: Fixed with 3.16.35
CVE-2016-0823: Fixed with 3.16.35
CVE-2016-10044: Fixed with 3.16.43
CVE-2016-10088: Fixed with 3.16.40
CVE-2016-10147: Fix not seen in stream
CVE-2016-10200: Fixed with 3.16.40
CVE-2016-10208: Fixed with 3.16.41
CVE-2016-10229: Fixed with 3.16.35
CVE-2016-1237: Fixed with 3.16.37
CVE-2016-1583: Fixed with 3.16.37
CVE-2016-2053: Fixed with 3.16.35
CVE-2016-2069: Fixed with 3.16.35
CVE-2016-2085: Fixed with 3.16.35
CVE-2016-2117: Fixed with 3.16.36
CVE-2016-2143: Fixed with 3.16.35
CVE-2016-2184: Fixed with 3.16.35
CVE-2016-2185: Fixed with 3.16.35
CVE-2016-2186: Fixed with 3.16.35
CVE-2016-2187: Fixed with 3.16.36
CVE-2016-2188: Fixed with 3.16.44
CVE-2016-2384: Fixed with 3.16.35
CVE-2016-2543: Fixed with 3.16.35
CVE-2016-2544: Fixed with 3.16.35
CVE-2016-2545: Fixed with 3.16.35
CVE-2016-2546: Fixed with 3.16.35
CVE-2016-2547: Fixed with 3.16.35
CVE-2016-2548: Fixed with 3.16.35
CVE-2016-2549: Fixed with 3.16.35
CVE-2016-2782: Fixed with 3.16.35
CVE-2016-2847: Fixed with 3.16.35
CVE-2016-3044: Fixed with 3.16.35
CVE-2016-3070: Fixed with 3.16.36
CVE-2016-3134: Fixed with 3.16.35
CVE-2016-3136: Fixed with 3.16.35
CVE-2016-3137: Fixed with 3.16.35
CVE-2016-3138: Fixed with 3.16.35
CVE-2016-3139: Fix not seen in stream
CVE-2016-3140: Fixed with 3.16.35
CVE-2016-3156: Fixed with 3.16.35
CVE-2016-3157: Fixed with 3.16.35
CVE-2016-3672: Fixed with 3.16.35
CVE-2016-3689: Fixed with 3.16.35
CVE-2016-3841: Fixed with 3.16.35
CVE-2016-3857: Fixed with 3.16.39
CVE-2016-3951: Fixed with 3.16.35
CVE-2016-3955: Fixed with 3.16.35
CVE-2016-3961: Fixed with 3.16.36
CVE-2016-4470: Fixed with 3.16.37
CVE-2016-4482: Fixed with 3.16.37
CVE-2016-4485: Fixed with 3.16.36
CVE-2016-4486: Fixed with 3.16.36
CVE-2016-4565: Fixed with 3.16.36
CVE-2016-4569: Fixed with 3.16.37
CVE-2016-4578: Fixed with 3.16.37
CVE-2016-4580: Fixed with 3.16.36
CVE-2016-4581: Fixed with 3.16.36
CVE-2016-4805: Fixed with 3.16.35
CVE-2016-4913: Fixed with 3.16.36
CVE-2016-4997: Fixed with 3.16.37
CVE-2016-4998: Fixed with 3.16.37
CVE-2016-5195: Fixed with 3.16.38
CVE-2016-5243: Fixed with 3.16.37
CVE-2016-5244: Fixed with 3.16.37
CVE-2016-5412: Fixed with 3.16.37
CVE-2016-5696: Fixed with 3.16.37
CVE-2016-5728: Fixed with 3.16.37
CVE-2016-5828: Fixed with 3.16.37
CVE-2016-5829: Fixed with 3.16.37
CVE-2016-6130: Fixed with 3.16.37
CVE-2016-6136: Fixed with 3.16.37
CVE-2016-6197: Fix not seen in stream
CVE-2016-6198: Fix not seen in stream
CVE-2016-6213: Fixed with 3.16.41
CVE-2016-6327: Fixed with 3.16.35
CVE-2016-6480: Fixed with 3.16.39
CVE-2016-6786: Fixed with 3.16.40
